ID,Software,CWE,Score,Severity,CVE_URL,WRITEUP_URL,EXPLOIT_URL
CVE-2025-9889,ContentMX Content Publisher,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9889,,
CVE-2025-10053,TableGen – Data Table Generator,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10053,,
CVE-2025-9333,Smart Docs,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",5.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9333,,
CVE-2025-9332,Interactive Medical Drawing of Human Body,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",5.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9332,,
CVE-2025-9762,Post By Email,"CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",9.8,Critical,https://www.cve.org/CVERecord?id=CVE-2025-9762,,
CVE-2025-10307,Backuply,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10307,,
CVE-2025-10745,Banhammer,CWE-330 Use of Insufficiently Random Values,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10745,,
CVE-2025-10173,ShopEngine Elementor WooCommerce Builder Addon,CWE-862 Missing Authorization,2.7,Low,https://www.cve.org/CVERecord?id=CVE-2025-10173,,
CVE-2025-10752,OAuth Single Sign On – SSO (OAuth Client),CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10752,,
CVE-2025-10658,SupportCandy,CWE-307 Improper Restriction of Excessive Authentication Attempts,6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10658,,
CVE-2025-10305,Secure Passkeys,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10305,,
CVE-2025-8575,LWS Cleaner,CWE-36 Absolute Path Traversal,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-8575,,
CVE-2025-10188,The Hack Repair Guy's Plugin Archiver,CWE-352 Cross-Site Request Forgery (CSRF),5.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10188,,
CVE-2025-10050,Developer Loggers for Simple History,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),6.6,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10050,,
CVE-2025-9891,User Sync – Remote User Sync,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9891,,
CVE-2025-10176,The Hack Repair Guy's Plugin Archiver,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-10176,,
CVE-2025-9879,Spotify Embed Creator,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",6.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9879,,
CVE-2025-9018,Time Tracker,CWE-862 Missing Authorization,8.8,High,https://www.cve.org/CVERecord?id=CVE-2025-9018,,
CVE-2025-8692,Coupon API,"CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')",4.9,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8692,,
CVE-2025-10049,Responsive Filterable Portfolio,CWE-434 Unrestricted Upload of File with Dangerous Type,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-10049,,
CVE-2025-9853,Optio Dentistry,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",6.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9853,,
CVE-2025-9519,Easy Timer,"CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-9519,,
CVE-2025-9516,atec Debug,CWE-36 Absolute Path Traversal,4.9,Medium,https://www.cve.org/CVERecord?id=CVE-2025-9516,,
CVE-2025-9517,atec Debug,"CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-9517,,
CVE-2025-9518,atec Debug,CWE-36 Absolute Path Traversal,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-9518,,
CVE-2025-9172,Vibes,"CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')",7.5,High,https://www.cve.org/CVERecord?id=CVE-2025-9172,,
CVE-2025-8678,WP Crontrol,"CWE-918 Server-Side Request Forgery (SSRF)",6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8678,,
